Name,Overall,Balance,Stamina,Strength,HeadingAccuracy,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Aggression,Jumping,Vision,Composure,StandingTackle,SlidingTackle
K. Asamoah,79,83.0,76.0,75.0,68.0,81.0,79.0,82.0,81.0,77.0,77.0,85.0,84.0,82.0,78.0,76.0,76.0,78.0,80.0
R. Zieler,79,41.0,32.0,55.0,13.0,25.0,22.0,12.0,22.0,46.0,50.0,43.0,21.0,32.0,69.0,42.0,61.0,12.0,13.0
D. Drinkwater,79,76.0,77.0,69.0,61.0,80.0,83.0,75.0,78.0,63.0,63.0,67.0,77.0,74.0,54.0,79.0,78.0,76.0,73.0
N. Kalinić,79,58.0,71.0,77.0,78.0,72.0,48.0,73.0,78.0,67.0,73.0,69.0,76.0,68.0,68.0,66.0,78.0,32.0,28.0
Mariano,79,73.0,92.0,70.0,59.0,76.0,75.0,75.0,82.0,87.0,79.0,74.0,84.0,76.0,70.0,69.0,70.0,72.0,81.0
S. Feghouli,79,76.0,72.0,58.0,60.0,74.0,67.0,85.0,82.0,83.0,89.0,86.0,79.0,62.0,72.0,75.0,63.0,32.0,31.0
Adrien Silva,79,68.0,69.0,59.0,61.0,81.0,80.0,78.0,80.0,64.0,57.0,70.0,83.0,79.0,53.0,78.0,79.0,78.0,73.0
Fernando,79,57.0,89.0,80.0,70.0,78.0,76.0,68.0,72.0,61.0,62.0,71.0,76.0,84.0,74.0,62.0,76.0,80.0,81.0
I. Traoré,79,94.0,63.0,43.0,44.0,76.0,74.0,85.0,80.0,89.0,79.0,93.0,80.0,53.0,71.0,76.0,79.0,43.0,40.0
G. Mercado,79,60.0,77.0,82.0,76.0,71.0,65.0,57.0,70.0,75.0,75.0,66.0,68.0,81.0,76.0,60.0,73.0,80.0,78.0
N. Petersen,79,57.0,81.0,76.0,82.0,65.0,49.0,64.0,70.0,57.0,62.0,64.0,79.0,60.0,66.0,61.0,82.0,44.0,21.0
O. Karnezis,79,49.0,33.0,66.0,24.0,22.0,36.0,15.0,23.0,44.0,34.0,45.0,22.0,18.0,64.0,47.0,60.0,15.0,24.0
M. Sakho,79,54.0,70.0,91.0,74.0,77.0,69.0,50.0,63.0,49.0,55.0,50.0,51.0,87.0,75.0,53.0,76.0,82.0,78.0
Sidnei,79,38.0,68.0,90.0,75.0,70.0,68.0,59.0,76.0,65.0,63.0,36.0,61.0,77.0,79.0,44.0,71.0,81.0,75.0
S. Jovetić,79,68.0,68.0,72.0,74.0,81.0,64.0,82.0,83.0,68.0,73.0,79.0,81.0,50.0,70.0,82.0,78.0,32.0,30.0
Eder,79,80.0,78.0,60.0,60.0,76.0,58.0,83.0,83.0,85.0,84.0,81.0,80.0,60.0,50.0,78.0,78.0,20.0,26.0
J. Hernández,79,79.0,66.0,53.0,79.0,65.0,56.0,73.0,77.0,77.0,69.0,75.0,75.0,59.0,83.0,70.0,79.0,29.0,25.0
Fabricio,79,48.0,42.0,56.0,14.0,44.0,40.0,25.0,35.0,59.0,54.0,57.0,25.0,33.0,76.0,51.0,56.0,14.0,11.0
Kiko Casilla,79,58.0,43.0,79.0,13.0,30.0,24.0,12.0,20.0,32.0,49.0,43.0,24.0,45.0,69.0,52.0,60.0,15.0,11.0
Ángel,79,76.0,66.0,64.0,74.0,73.0,49.0,80.0,81.0,74.0,74.0,79.0,81.0,62.0,76.0,62.0,70.0,23.0,20.0
M. Schneiderlin,79,69.0,79.0,75.0,69.0,78.0,75.0,68.0,80.0,58.0,58.0,69.0,71.0,81.0,68.0,69.0,79.0,78.0,77.0
M. Fellaini,79,49.0,75.0,91.0,93.0,81.0,66.0,67.0,82.0,41.0,48.0,47.0,75.0,94.0,64.0,73.0,78.0,77.0,60.0
P. Wernbloom,79,55.0,89.0,86.0,86.0,75.0,72.0,68.0,74.0,55.0,61.0,53.0,81.0,89.0,56.0,71.0,76.0,79.0,80.0
D. Ospina,79,50.0,29.0,38.0,15.0,36.0,32.0,12.0,32.0,34.0,34.0,44.0,35.0,20.0,75.0,50.0,60.0,13.0,12.0
S. Mignolet,79,52.0,31.0,72.0,16.0,37.0,34.0,14.0,26.0,50.0,52.0,34.0,45.0,34.0,69.0,43.0,61.0,14.0,16.0
A. Begović,79,40.0,36.0,80.0,12.0,26.0,32.0,16.0,24.0,52.0,58.0,52.0,28.0,42.0,38.0,34.0,61.0,11.0,12.0
N. Şahin,79,73.0,60.0,71.0,64.0,84.0,84.0,76.0,81.0,40.0,34.0,74.0,83.0,66.0,71.0,82.0,84.0,74.0,77.0
R. Bertrand,79,69.0,78.0,70.0,68.0,76.0,70.0,77.0,78.0,78.0,76.0,73.0,59.0,73.0,70.0,51.0,76.0,81.0,80.0
A. Masiello,79,56.0,63.0,75.0,76.0,66.0,68.0,54.0,62.0,58.0,55.0,60.0,63.0,76.0,79.0,36.0,74.0,83.0,80.0
T. Walcott,79,77.0,69.0,56.0,58.0,72.0,61.0,81.0,78.0,89.0,89.0,79.0,76.0,65.0,65.0,72.0,76.0,39.0,36.0
Charles,79,69.0,63.0,71.0,79.0,69.0,52.0,79.0,82.0,64.0,59.0,86.0,83.0,66.0,93.0,55.0,78.0,35.0,27.0
T. Heaton,79,52.0,40.0,66.0,16.0,32.0,37.0,17.0,28.0,56.0,55.0,54.0,14.0,31.0,73.0,46.0,62.0,15.0,13.0
H. Ben Arfa,79,79.0,51.0,65.0,46.0,78.0,74.0,88.0,80.0,77.0,69.0,82.0,78.0,61.0,74.0,78.0,77.0,27.0,21.0
D. Abraham,79,55.0,68.0,80.0,78.0,73.0,75.0,44.0,59.0,76.0,79.0,61.0,74.0,79.0,77.0,49.0,78.0,83.0,78.0
E. Lavezzi,79,85.0,68.0,71.0,57.0,80.0,65.0,82.0,83.0,85.0,83.0,87.0,79.0,73.0,82.0,83.0,78.0,40.0,37.0
S. Kalou,79,76.0,64.0,67.0,77.0,79.0,68.0,87.0,86.0,67.0,65.0,76.0,76.0,35.0,76.0,78.0,81.0,38.0,27.0
J. Farfán,79,66.0,69.0,78.0,65.0,77.0,73.0,78.0,79.0,84.0,84.0,75.0,75.0,73.0,76.0,80.0,80.0,43.0,29.0
R. Babel,79,74.0,84.0,78.0,71.0,71.0,66.0,82.0,79.0,83.0,82.0,77.0,85.0,58.0,82.0,74.0,75.0,28.0,21.0
A. Young,79,76.0,75.0,67.0,57.0,79.0,70.0,77.0,79.0,77.0,72.0,77.0,75.0,78.0,55.0,76.0,74.0,76.0,74.0
J. Hart,79,32.0,28.0,61.0,10.0,34.0,35.0,23.0,20.0,56.0,60.0,50.0,40.0,36.0,69.0,42.0,58.0,14.0,13.0
L. López,79,80.0,77.0,75.0,76.0,75.0,70.0,78.0,80.0,77.0,83.0,84.0,77.0,61.0,84.0,72.0,84.0,58.0,29.0
D. Baier,79,75.0,72.0,67.0,52.0,82.0,82.0,74.0,80.0,53.0,43.0,71.0,68.0,67.0,78.0,80.0,84.0,75.0,74.0
B. Yılmaz,79,48.0,69.0,79.0,72.0,66.0,60.0,69.0,69.0,81.0,79.0,72.0,85.0,85.0,66.0,64.0,71.0,29.0,26.0
R. Adler,79,43.0,22.0,66.0,10.0,39.0,36.0,13.0,20.0,42.0,32.0,49.0,23.0,25.0,69.0,38.0,49.0,12.0,13.0
S. Lichtsteiner,79,77.0,76.0,70.0,70.0,77.0,70.0,76.0,76.0,65.0,69.0,73.0,74.0,82.0,73.0,62.0,80.0,80.0,80.0
E. Adebayor,79,52.0,57.0,82.0,92.0,72.0,55.0,72.0,74.0,67.0,70.0,65.0,78.0,70.0,76.0,76.0,84.0,25.0,19.0
E. Belözoğlu,79,81.0,61.0,65.0,43.0,86.0,87.0,78.0,82.0,54.0,38.0,68.0,77.0,87.0,72.0,86.0,80.0,67.0,60.0
Loren,78,57.0,60.0,61.0,76.0,74.0,35.0,79.0,81.0,63.0,66.0,60.0,78.0,38.0,68.0,60.0,70.0,12.0,16.0
Éder Militão,78,67.0,85.0,76.0,75.0,67.0,58.0,68.0,70.0,77.0,78.0,75.0,62.0,83.0,86.0,59.0,68.0,82.0,78.0
F. Chiesa,78,77.0,78.0,64.0,50.0,75.0,60.0,83.0,80.0,86.0,84.0,86.0,81.0,62.0,55.0,71.0,76.0,34.0,34.0
M. Lazzari,78,70.0,78.0,49.0,44.0,78.0,74.0,79.0,79.0,84.0,79.0,75.0,53.0,53.0,36.0,72.0,73.0,51.0,42.0
A. Hakimi,78,75.0,84.0,73.0,64.0,77.0,68.0,78.0,78.0,89.0,91.0,75.0,75.0,67.0,69.0,63.0,72.0,73.0,75.0
S. Nakajima,78,95.0,88.0,34.0,40.0,75.0,68.0,83.0,78.0,93.0,91.0,94.0,77.0,55.0,70.0,75.0,81.0,41.0,36.0
L. Jović,78,65.0,69.0,76.0,76.0,72.0,54.0,76.0,77.0,75.0,77.0,74.0,79.0,57.0,66.0,65.0,73.0,26.0,16.0
S. Ascacíbar,78,87.0,92.0,61.0,55.0,80.0,71.0,64.0,65.0,75.0,65.0,78.0,53.0,90.0,82.0,60.0,67.0,80.0,77.0
A. Lafont,78,53.0,40.0,70.0,13.0,54.0,38.0,14.0,10.0,48.0,45.0,55.0,23.0,20.0,73.0,47.0,59.0,14.0,12.0
T. Alexander-Arnold,78,74.0,79.0,62.0,59.0,76.0,75.0,72.0,72.0,82.0,79.0,74.0,70.0,73.0,66.0,72.0,74.0,76.0,74.0
F. Krovinović,78,75.0,71.0,60.0,54.0,80.0,78.0,79.0,81.0,68.0,69.0,76.0,78.0,68.0,54.0,80.0,82.0,57.0,50.0
Sidney Pessinho,78,55.0,76.0,88.0,62.0,75.0,77.0,72.0,71.0,72.0,72.0,51.0,73.0,77.0,61.0,72.0,67.0,76.0,76.0
Everticinho,78,70.0,88.0,68.0,60.0,76.0,59.0,76.0,75.0,84.0,76.0,79.0,72.0,73.0,61.0,64.0,80.0,75.0,77.0
Claudio Coíntra,78,83.0,75.0,57.0,45.0,75.0,75.0,75.0,76.0,87.0,74.0,86.0,74.0,42.0,58.0,79.0,84.0,28.0,21.0
Ronaldo Esler,78,90.0,76.0,33.0,60.0,76.0,59.0,76.0,74.0,88.0,86.0,86.0,78.0,73.0,59.0,68.0,76.0,77.0,76.0
P. Lees-Melou,78,59.0,86.0,71.0,59.0,79.0,79.0,79.0,79.0,74.0,74.0,75.0,70.0,71.0,61.0,78.0,76.0,68.0,63.0
B. Chilwell,78,71.0,84.0,68.0,64.0,73.0,68.0,76.0,77.0,81.0,82.0,70.0,69.0,68.0,77.0,66.0,68.0,76.0,79.0
João Novais,78,76.0,88.0,68.0,45.0,78.0,76.0,78.0,77.0,79.0,70.0,75.0,84.0,49.0,65.0,78.0,76.0,57.0,48.0
D. Calabria,78,78.0,81.0,64.0,64.0,75.0,68.0,73.0,74.0,81.0,77.0,83.0,62.0,78.0,69.0,50.0,74.0,78.0,77.0
F. Mendy,78,78.0,82.0,76.0,69.0,76.0,75.0,81.0,78.0,88.0,86.0,78.0,69.0,77.0,78.0,73.0,78.0,75.0,76.0
L. Pellegrini,78,69.0,76.0,69.0,71.0,82.0,79.0,76.0,79.0,77.0,74.0,68.0,76.0,71.0,67.0,76.0,79.0,74.0,72.0
Soares,78,65.0,76.0,78.0,77.0,68.0,54.0,75.0,77.0,79.0,86.0,71.0,77.0,90.0,78.0,58.0,79.0,45.0,35.0
Daniel Podence,78,94.0,72.0,30.0,42.0,74.0,66.0,84.0,81.0,94.0,92.0,92.0,65.0,67.0,66.0,77.0,78.0,30.0,29.0
M. Díaz,78,35.0,35.0,74.0,15.0,24.0,21.0,13.0,16.0,39.0,39.0,30.0,25.0,43.0,53.0,38.0,33.0,21.0,22.0
G. Martínez,78,88.0,72.0,61.0,32.0,70.0,68.0,86.0,81.0,90.0,88.0,92.0,80.0,42.0,53.0,72.0,77.0,28.0,30.0
M. Eggestein,78,67.0,96.0,74.0,65.0,79.0,77.0,77.0,79.0,66.0,69.0,74.0,77.0,68.0,53.0,74.0,75.0,75.0,63.0
Trezeguet,78,70.0,78.0,67.0,42.0,76.0,72.0,83.0,78.0,82.0,85.0,78.0,76.0,45.0,65.0,69.0,74.0,39.0,27.0
N. Amiri,78,76.0,77.0,66.0,43.0,79.0,73.0,85.0,81.0,77.0,68.0,79.0,70.0,48.0,66.0,78.0,69.0,57.0,46.0
Vallejo,78,69.0,66.0,69.0,74.0,76.0,75.0,56.0,67.0,67.0,74.0,69.0,49.0,74.0,77.0,33.0,76.0,78.0,81.0
J. Gomez,78,66.0,74.0,80.0,68.0,72.0,57.0,67.0,68.0,80.0,83.0,64.0,41.0,70.0,66.0,52.0,69.0,80.0,77.0
Diogo Jota,78,87.0,82.0,72.0,56.0,72.0,65.0,81.0,83.0,87.0,76.0,87.0,78.0,80.0,66.0,72.0,83.0,54.0,39.0
Joan Jordán,78,65.0,75.0,66.0,47.0,79.0,78.0,78.0,79.0,65.0,68.0,65.0,74.0,61.0,50.0,78.0,62.0,76.0,54.0
Dyego Sousa,78,39.0,82.0,83.0,83.0,64.0,45.0,74.0,76.0,58.0,54.0,53.0,84.0,80.0,74.0,53.0,68.0,22.0,27.0
A. Marušić,78,67.0,79.0,79.0,72.0,75.0,68.0,78.0,77.0,86.0,89.0,66.0,81.0,71.0,80.0,72.0,72.0,71.0,72.0
David Soria,78,42.0,43.0,76.0,24.0,24.0,33.0,16.0,19.0,49.0,34.0,45.0,54.0,24.0,60.0,45.0,58.0,13.0,13.0
V. Rongier,78,90.0,71.0,55.0,41.0,81.0,79.0,78.0,80.0,69.0,55.0,79.0,74.0,51.0,73.0,77.0,77.0,84.0,70.0
W. Weghorst,78,44.0,84.0,86.0,84.0,70.0,48.0,64.0,76.0,53.0,69.0,64.0,80.0,73.0,79.0,62.0,78.0,23.0,26.0
O. Al Soma,78,67.0,82.0,89.0,77.0,69.0,64.0,71.0,76.0,73.0,71.0,69.0,84.0,67.0,63.0,70.0,71.0,33.0,34.0
M. Nakamba,78,78.0,90.0,80.0,55.0,73.0,73.0,71.0,73.0,78.0,75.0,78.0,80.0,86.0,78.0,68.0,71.0,80.0,78.0
Petros,78,70.0,88.0,71.0,57.0,80.0,78.0,76.0,79.0,72.0,73.0,70.0,80.0,83.0,61.0,74.0,77.0,83.0,79.0
Pablo Maffeo,78,84.0,74.0,65.0,68.0,78.0,63.0,80.0,81.0,87.0,86.0,82.0,57.0,65.0,61.0,64.0,62.0,81.0,80.0
Y. Mina,78,34.0,79.0,87.0,86.0,73.0,52.0,60.0,53.0,45.0,62.0,53.0,70.0,80.0,70.0,54.0,80.0,79.0,75.0
M. Dúbravka,78,60.0,40.0,60.0,12.0,48.0,45.0,19.0,33.0,49.0,44.0,44.0,22.0,26.0,73.0,54.0,59.0,15.0,14.0
Diego Carlos,78,57.0,64.0,84.0,75.0,71.0,59.0,64.0,69.0,70.0,68.0,64.0,73.0,82.0,80.0,51.0,72.0,79.0,73.0
D. Djené,78,72.0,77.0,70.0,77.0,72.0,54.0,44.0,68.0,76.0,75.0,76.0,67.0,81.0,79.0,39.0,64.0,80.0,81.0
G. Simeone,78,74.0,74.0,72.0,80.0,68.0,55.0,76.0,76.0,79.0,78.0,76.0,79.0,70.0,84.0,60.0,76.0,29.0,26.0
M. Meza,78,75.0,81.0,70.0,67.0,76.0,68.0,86.0,79.0,80.0,82.0,87.0,76.0,73.0,67.0,76.0,73.0,37.0,32.0
Bastos,78,76.0,65.0,82.0,74.0,70.0,65.0,55.0,62.0,73.0,77.0,62.0,49.0,75.0,71.0,28.0,67.0,80.0,77.0
S. Lobotka,78,84.0,86.0,52.0,41.0,84.0,76.0,77.0,82.0,70.0,63.0,78.0,62.0,57.0,82.0,76.0,74.0,74.0,65.0
Y. Tielemans,78,76.0,73.0,69.0,57.0,78.0,78.0,76.0,81.0,52.0,53.0,67.0,88.0,70.0,65.0,81.0,81.0,72.0,69.0
Marcelo Goiano,78,74.0,86.0,64.0,68.0,75.0,61.0,77.0,76.0,77.0,75.0,77.0,71.0,74.0,72.0,52.0,73.0,76.0,77.0
K. Tete,78,73.0,77.0,76.0,74.0,73.0,63.0,68.0,70.0,74.0,79.0,66.0,60.0,80.0,77.0,58.0,73.0,81.0,86.0
Capa,78,86.0,92.0,80.0,61.0,71.0,56.0,74.0,76.0,82.0,86.0,75.0,81.0,86.0,77.0,72.0,69.0,75.0,82.0
M. Sportiello,78,58.0,37.0,66.0,18.0,32.0,19.0,19.0,22.0,48.0,38.0,55.0,19.0,23.0,68.0,44.0,59.0,17.0,13.0
Jemerson,78,58.0,67.0,78.0,78.0,68.0,60.0,54.0,63.0,70.0,65.0,64.0,45.0,75.0,83.0,46.0,75.0,80.0,77.0
N. Maksimović,78,58.0,67.0,86.0,79.0,59.0,59.0,49.0,61.0,62.0,68.0,49.0,39.0,78.0,67.0,31.0,70.0,80.0,79.0
D. Zapata,78,58.0,66.0,91.0,78.0,64.0,38.0,72.0,76.0,68.0,75.0,64.0,86.0,60.0,79.0,46.0,76.0,24.0,22.0
J. Correa,78,61.0,75.0,74.0,43.0,78.0,69.0,85.0,83.0,76.0,79.0,82.0,76.0,48.0,32.0,75.0,73.0,37.0,26.0
E. Rigoni,78,68.0,80.0,58.0,65.0,73.0,71.0,82.0,77.0,90.0,90.0,83.0,71.0,44.0,57.0,74.0,71.0,41.0,55.0
C. Izquierdoz,78,52.0,84.0,80.0,82.0,66.0,57.0,36.0,62.0,52.0,50.0,36.0,55.0,74.0,85.0,33.0,58.0,79.0,78.0
W. Barrios,78,73.0,93.0,77.0,59.0,78.0,65.0,66.0,69.0,76.0,71.0,75.0,53.0,84.0,78.0,65.0,76.0,81.0,73.0
J. Mojica,78,61.0,70.0,70.0,55.0,78.0,70.0,78.0,79.0,89.0,90.0,74.0,80.0,75.0,73.0,65.0,69.0,78.0,79.0
A. Selikhov,78,50.0,24.0,65.0,17.0,33.0,35.0,19.0,25.0,33.0,48.0,35.0,25.0,21.0,70.0,58.0,58.0,18.0,18.0
A. Iwobi,78,75.0,74.0,70.0,42.0,81.0,63.0,84.0,84.0,80.0,77.0,76.0,67.0,46.0,47.0,80.0,72.0,26.0,23.0
D. Laxalt,78,77.0,93.0,60.0,43.0,78.0,74.0,77.0,78.0,86.0,90.0,85.0,74.0,72.0,65.0,68.0,76.0,64.0,68.0
N. Bentaleb,78,71.0,75.0,72.0,51.0,80.0,76.0,82.0,81.0,66.0,64.0,75.0,83.0,74.0,53.0,80.0,79.0,71.0,60.0
N. Stark,78,62.0,70.0,79.0,83.0,76.0,67.0,65.0,70.0,74.0,79.0,63.0,63.0,74.0,64.0,71.0,69.0,79.0,76.0
M. Lemina,78,74.0,75.0,73.0,68.0,82.0,77.0,81.0,82.0,76.0,77.0,71.0,83.0,70.0,46.0,74.0,70.0,73.0,66.0
L. Dendoncker,78,53.0,89.0,87.0,78.0,78.0,78.0,68.0,73.0,61.0,68.0,57.0,86.0,73.0,66.0,76.0,74.0,78.0,76.0
Ricardo Esgaio,78,83.0,87.0,59.0,56.0,78.0,67.0,79.0,80.0,75.0,74.0,82.0,63.0,68.0,73.0,75.0,82.0,76.0,75.0
P. Sisto,78,84.0,80.0,64.0,51.0,70.0,65.0,86.0,80.0,81.0,81.0,82.0,82.0,52.0,82.0,75.0,74.0,55.0,48.0
P. Max,78,74.0,85.0,66.0,59.0,77.0,72.0,73.0,78.0,78.0,85.0,77.0,75.0,72.0,66.0,70.0,71.0,74.0,75.0
R. Gagliardini,78,62.0,85.0,71.0,73.0,78.0,75.0,75.0,77.0,68.0,68.0,64.0,76.0,74.0,64.0,73.0,74.0,78.0,76.0
Pere Pons,78,70.0,81.0,68.0,58.0,82.0,80.0,75.0,79.0,68.0,67.0,71.0,62.0,75.0,66.0,74.0,69.0,77.0,76.0
D. Berardi,78,73.0,70.0,65.0,62.0,75.0,75.0,80.0,85.0,79.0,79.0,87.0,83.0,85.0,66.0,71.0,74.0,30.0,30.0
M. Halstenberg,78,59.0,79.0,78.0,78.0,76.0,62.0,69.0,74.0,66.0,69.0,65.0,79.0,73.0,83.0,54.0,70.0,79.0,74.0
J. Quintero,78,91.0,44.0,38.0,42.0,78.0,77.0,83.0,83.0,73.0,71.0,90.0,83.0,43.0,55.0,85.0,75.0,30.0,22.0
Tiago Volpi,78,47.0,36.0,72.0,13.0,31.0,26.0,16.0,24.0,59.0,58.0,63.0,70.0,24.0,75.0,39.0,68.0,10.0,12.0
Óliver Torres,78,78.0,71.0,38.0,52.0,81.0,78.0,83.0,82.0,72.0,65.0,78.0,65.0,58.0,62.0,80.0,82.0,66.0,62.0
Omar Mascarell,78,68.0,79.0,75.0,56.0,82.0,83.0,75.0,80.0,65.0,64.0,76.0,74.0,70.0,73.0,74.0,74.0,76.0,71.0
H. Sakai,78,69.0,90.0,74.0,71.0,71.0,64.0,64.0,69.0,78.0,78.0,71.0,72.0,79.0,75.0,60.0,68.0,77.0,80.0
Andreas Pereira,78,78.0,75.0,68.0,56.0,80.0,77.0,81.0,81.0,78.0,74.0,78.0,73.0,69.0,62.0,78.0,74.0,65.0,63.0
A. Januzaj,78,71.0,68.0,59.0,23.0,79.0,74.0,81.0,80.0,79.0,76.0,83.0,72.0,41.0,61.0,78.0,70.0,22.0,22.0
B. Cristante,78,54.0,69.0,70.0,70.0,83.0,78.0,78.0,81.0,63.0,58.0,64.0,74.0,64.0,58.0,76.0,70.0,69.0,66.0
Matheus,78,48.0,32.0,71.0,14.0,27.0,36.0,12.0,22.0,44.0,47.0,45.0,21.0,19.0,63.0,52.0,46.0,20.0,15.0
B. Traoré,78,71.0,75.0,64.0,64.0,77.0,69.0,85.0,87.0,85.0,90.0,88.0,76.0,60.0,78.0,74.0,73.0,40.0,37.0
Y. Poulsen,78,55.0,87.0,78.0,84.0,74.0,48.0,75.0,71.0,79.0,79.0,75.0,73.0,84.0,83.0,65.0,68.0,59.0,33.0
L. Trossard,78,87.0,73.0,60.0,64.0,76.0,68.0,83.0,78.0,92.0,76.0,93.0,77.0,47.0,89.0,71.0,84.0,31.0,18.0
M. Arnold,78,67.0,77.0,67.0,54.0,79.0,78.0,78.0,79.0,66.0,64.0,71.0,87.0,66.0,52.0,74.0,76.0,71.0,66.0
M. De Sciglio,78,77.0,87.0,68.0,68.0,74.0,68.0,74.0,75.0,75.0,79.0,79.0,67.0,74.0,77.0,60.0,72.0,78.0,78.0
Leo Baptistao,78,68.0,74.0,71.0,75.0,77.0,63.0,80.0,80.0,75.0,78.0,77.0,74.0,38.0,70.0,74.0,75.0,24.0,19.0
V. Chiricheş,78,72.0,66.0,72.0,73.0,68.0,70.0,59.0,66.0,66.0,67.0,57.0,82.0,76.0,73.0,46.0,69.0,82.0,78.0
L. Pavoletti,78,59.0,66.0,84.0,93.0,64.0,36.0,66.0,74.0,66.0,63.0,65.0,80.0,60.0,86.0,52.0,73.0,21.0,17.0
A. Cragno,78,43.0,43.0,55.0,12.0,26.0,25.0,13.0,21.0,41.0,37.0,37.0,19.0,33.0,74.0,42.0,59.0,11.0,12.0
L. Castro,78,78.0,75.0,68.0,58.0,80.0,76.0,80.0,82.0,78.0,75.0,78.0,77.0,65.0,66.0,77.0,77.0,70.0,70.0
N. Füllkrug,78,52.0,73.0,83.0,80.0,67.0,48.0,70.0,74.0,65.0,65.0,66.0,79.0,67.0,69.0,61.0,72.0,30.0,17.0
F. Fajr,78,71.0,66.0,67.0,49.0,80.0,81.0,76.0,79.0,67.0,61.0,74.0,74.0,70.0,37.0,79.0,63.0,77.0,78.0
R. Jiménez,78,49.0,76.0,78.0,81.0,71.0,67.0,74.0,74.0,69.0,76.0,73.0,79.0,80.0,68.0,71.0,74.0,36.0,28.0
E. Sala,78,55.0,92.0,84.0,81.0,71.0,63.0,75.0,75.0,56.0,61.0,59.0,79.0,75.0,77.0,63.0,81.0,59.0,51.0
S. García,78,68.0,75.0,88.0,75.0,61.0,54.0,71.0,76.0,67.0,66.0,68.0,82.0,86.0,75.0,71.0,77.0,24.0,15.0
S. Arias,78,77.0,90.0,69.0,67.0,74.0,73.0,74.0,76.0,84.0,86.0,78.0,56.0,79.0,82.0,64.0,76.0,76.0,77.0
B. Reynet,78,24.0,34.0,68.0,14.0,33.0,32.0,11.0,21.0,41.0,45.0,43.0,18.0,36.0,62.0,16.0,62.0,12.0,10.0
Pozuelo,78,82.0,75.0,50.0,39.0,82.0,73.0,81.0,83.0,62.0,57.0,76.0,66.0,52.0,60.0,82.0,81.0,52.0,40.0
A. Trebel,78,87.0,82.0,69.0,33.0,77.0,79.0,77.0,77.0,79.0,75.0,77.0,80.0,80.0,77.0,77.0,75.0,74.0,70.0
J. Lascelles,78,51.0,70.0,84.0,79.0,65.0,57.0,50.0,65.0,60.0,63.0,67.0,40.0,83.0,85.0,40.0,71.0,77.0,76.0
T. Kongolo,78,62.0,71.0,79.0,74.0,72.0,65.0,67.0,72.0,72.0,74.0,71.0,67.0,75.0,91.0,49.0,73.0,80.0,79.0
A. Carrillo,78,76.0,67.0,72.0,70.0,73.0,60.0,85.0,82.0,86.0,86.0,80.0,76.0,53.0,73.0,73.0,73.0,32.0,25.0
Álvaro,78,72.0,78.0,74.0,73.0,69.0,57.0,48.0,67.0,72.0,73.0,68.0,48.0,89.0,92.0,39.0,67.0,78.0,81.0
G. Defrel,78,72.0,59.0,58.0,68.0,67.0,60.0,83.0,82.0,88.0,87.0,82.0,79.0,53.0,42.0,75.0,75.0,15.0,18.0
Fernando,78,81.0,80.0,69.0,62.0,81.0,82.0,70.0,76.0,70.0,76.0,74.0,76.0,80.0,80.0,75.0,70.0,78.0,77.0
V. Darida,78,88.0,94.0,48.0,41.0,81.0,75.0,78.0,81.0,70.0,65.0,82.0,76.0,56.0,77.0,77.0,79.0,66.0,59.0
R. Saponara,78,71.0,68.0,69.0,58.0,80.0,74.0,83.0,85.0,69.0,75.0,72.0,72.0,52.0,64.0,80.0,76.0,34.0,30.0
Pedro Mendes,78,53.0,75.0,79.0,73.0,66.0,64.0,62.0,63.0,66.0,63.0,55.0,67.0,81.0,74.0,32.0,70.0,82.0,78.0
C. Schindler,78,57.0,68.0,78.0,74.0,68.0,64.0,42.0,68.0,60.0,65.0,56.0,52.0,76.0,74.0,51.0,73.0,81.0,78.0
N. Chadli,78,54.0,75.0,83.0,67.0,77.0,68.0,82.0,80.0,74.0,78.0,65.0,81.0,59.0,71.0,75.0,79.0,48.0,44.0
Arbilla,78,68.0,74.0,78.0,73.0,77.0,65.0,63.0,76.0,55.0,70.0,60.0,81.0,84.0,81.0,57.0,65.0,80.0,79.0
L. Dunk,78,42.0,64.0,82.0,76.0,71.0,74.0,60.0,68.0,38.0,50.0,47.0,72.0,80.0,72.0,45.0,72.0,76.0,78.0
P. Hernández,78,44.0,68.0,80.0,53.0,79.0,78.0,80.0,79.0,69.0,67.0,70.0,75.0,85.0,69.0,80.0,68.0,67.0,70.0
J. Guidetti,78,60.0,64.0,82.0,75.0,75.0,53.0,76.0,77.0,65.0,65.0,64.0,84.0,75.0,70.0,65.0,78.0,30.0,26.0
Sergi Gómez,78,50.0,68.0,78.0,74.0,80.0,77.0,56.0,75.0,46.0,44.0,52.0,45.0,70.0,69.0,56.0,68.0,81.0,78.0
Oriol Romeu,78,59.0,75.0,82.0,67.0,80.0,71.0,59.0,72.0,53.0,48.0,54.0,60.0,88.0,65.0,65.0,72.0,79.0,74.0
Lucas Pérez,78,73.0,70.0,69.0,68.0,75.0,70.0,79.0,80.0,76.0,78.0,70.0,82.0,67.0,63.0,81.0,75.0,24.0,26.0
B. Natcho,78,79.0,66.0,70.0,57.0,80.0,81.0,73.0,81.0,57.0,66.0,76.0,73.0,71.0,54.0,80.0,84.0,72.0,64.0
